Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Schwarz, Dominik J.']",5,3.0,6.0,International Journal of Modern Physics D,[u'Analytic Solutions for Cosmological Perturbations in Multi-Dimensional Space-Time'],1994
"[u'Fonarev, Oleg A.']",4,,10.0,Physics Letters A,[u'Quantum kinetic equations and cosmology'],1994
"[u'Gasperini, M.']",25,2.0,12.0,Physics Letters B,[u'Relaxed bounds on the dilaton mass in a string cosmology scenario'],1994
"[u'Rasio, Frederic A.', u'Shapiro, Stuart L.']",132,16.0,27.0,The Astrophysical Journal,[u'Hydrodynamics of Binary Coalescence. I. Polytropes with Stiff Equations of State'],1994
"[u'Ng, Kin-Wang']",5,,26.0,International Journal of Modern Physics A,[u'Graviton Mode Function in Inflationary Cosmology'],1996
"[u'Lucchin, Francesco', u'Matarrese, Sabino', u'Melott, Adrian L.', u'Moscardini, Lauro']",37,,24.0,The Astrophysical Journal,[u'Higher Order Moments of the Matter Distribution in Scale-free Cosmological Simulations with Large Dynamic Range'],1994
"[u'Haubold, H. J.', u'Mathai, A. M.']",2,,20.0,Astrophysics and Space Science,[u'Computational Aspects of the Gravitational Instability Problem for a Multicomponent Cosmological Medium'],1994
"[u'Dodelson, Scott', u'Gyuk, Geza', u'Turner, Michael S.']",63,,27.0,Physical Review D,[u'Primordial nucleosynthesis with a decaying \u03c4 neutrino'],1994
"[u'Carlberg, R. G.', u'Yee, H. K. C.', u'Ellingson, E.', u'et al.']",29,,,Journal of the Royal Astronomical Society of Canada,[u'Mapping moderate redshift clusters.'],1994
"[u'Eisenstein, Daniel J.', u'Loeb, Abraham']",118,3.0,18.0,The Astrophysical Journal,[u'Origin of Quasar Progenitors from the Collapse of Low-Spin Cosmological Perturbations'],1995
"[u'Kiritsis, Elias', u'Kounnas, Costas']",65,,,Physics Letters B,[u'Dynamical topology change in string theory'],1994
"[u'Kogut, A.', u'Banday, A. J.', u'Bennett, C. L.', u'Hinshaw, G.', u'Loewenstein, K.', u'Lubin, P.', u'Smoot, G. F.', u'Wright, E. L.']",18,2.0,16.0,The Astrophysical Journal,[u'Search for Unresolved Sources in the COBE-DMR Two-Year Sky Maps'],1994
"[u'Rajagopal, Krishna', u'Wilczek, Frank']",395,4.0,41.0,Nuclear Physics B,[u'Static and dynamic critical phenomena at a second order QCD phase transition'],1993
"[u'Adams, Fred C.', u'Bond, J. Richard', u'Freese, Katherine', u'Frieman, Joshua A.', u'Olinto, Angela V.']",341,,42.0,Physical Review D,"[u'Natural inflation: Particle physics models, power-law spectra for large-scale structure, and constraints from the Cosmic Background Explorer']",1993
"[u'Gundlach, Carsten', u'Price, Richard H.', u'Pullin, Jorge']",231,6.0,,Physical Review D,[u'Late-time behavior of stellar collapse and explosions. I. Linearized perturbations'],1994
"[u'Pian, E.', u'Falomo, R.', u'Scarpa, R.', u'Treves, A.']",28,2.0,23.0,The Astrophysical Journal,[u'The Near-Infrared--Optical--Ultraviolet Emission of BL Lacertae Objects'],1994
"[u'Held, Enrico V.', u'Mould, Jeremy R.']",70,,,The Astronomical Journal,[u'Spectroscopy of Dwarf Elliptical Galaxies in the Fornax Cluster'],1994
"[u'Yuan, Kajia']",0,,,ArXiv e-prints,[u'Aspects of Neutralino Dark Matter'],1993
"[u'Ignatius, J.', u'Kajantie, K.', u'Kurki-Suonio, H.', u'Laine, M.']",100,,24.0,Physical Review D,[u'Growth of bubbles in cosmological phase transitions'],1994
"[u'Boldin, A. Yu.', u'Bronnikov, A. A.', u'Dmitrieva, V. V.', u'Sharipov, R. A.']",3,,7.0,ArXiv e-prints,[u'Complete normality conditions for the dynamical systems on Riemannian manifolds'],1994
"[u'Krisciunas, K.', u'Aspin, C.', u'Geballe, T. R.', u'Akazawa, H.', u'Claver, C. F.', u'Guinan, E. F.', u'Landis, H. J.', u'Luedeke, K. D.', u'Ohkura, N.', u'Ohshima, O.', u'Skillman, D. R.']",22,6.0,16.0,Monthly Notices of the Royal Astronomical Society,[u'The 9 Aurigae system.'],1993
"[u'Giuricin, Giuliano', u'Mardirossian, Fabio', u'Mezzetti, Marino', u'Monaco, Pierluigi']",19,,23.0,The Astrophysical Journal,[u'The Local Galaxy Density and the Bars of Spiral Galaxies'],1993
"[u'Malaney, R. A.', u'Starkman, G. D.', u'Butler, M. N.']",1,,12.0,Physical Review D,[u'Neutrino lasing in the Sun'],1994
"[u'Kitada, Hitoshi']",1,,22.0,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Theory of Local Times II. Another formulation and examples'],1994
"[u'Garc\xeda-Bellido, Juan', u'Linde, Andrei', u'Linde, Dmitri']",133,,41.0,Physical Review D,[u'Fluctuations of the gravitational constant in the inflationary Brans-Dicke cosmology'],1994
"[u'Strom, Karen M.', u'Strom, Stephen E.']",25,2.0,8.0,The Astrophysical Journal,[u'The Discovery of Two FU Orionis Objects in L1641'],1993
"[u'Albrecht, Andreas', u'Ferreira, Pedro', u'Joyce, Michael', u'Prokopec, Tomislav']",124,6.0,33.0,Physical Review D,[u'Inflation and squeezed quantum states'],1994
"[u'Altherr, T.', u'Salati, P.']",24,4.0,,Nuclear Physics B,[u'The electric charge of neutrinos and plasmon decay'],1994
"[u'Gould, Andrew']",25,,12.0,The Astrophysical Journal,[u'Microlensing by Stars in the Disk of M31'],1994
"[u'Saha, Prasenjit', u'Tremaine, Scott']",57,,23.0,The Astronomical Journal,[u'Long-Term Planetary Integration With Individual Time Steps'],1994
"[u'Hata, N.', u'Bludman, S.', u'Langacker, P.']",129,,10.0,Physical Review D,[u'Astrophysical solutions are incompatible with the solar neutrino data'],1994
"[u'Easther, R.']",33,,18.0,Classical and Quantum Gravity,[u'Exact superstring motivated cosmological models'],1993
"[u'Matarrese, Sabino', u'Pantano, Ornella', u'Saez, Diego']",97,,12.0,Physical Review Letters,[u'General relativistic dynamics of irrotational dust: Cosmological implications'],1994
"[u'Souradeep, Tarun', u'Sahni, Varun']",81,,,Modern Physics Letters A,"[u'Density Perturbations, Gravity Waves and the Cosmic Microwave Background']",1992
"[u'Viotti, R.', u'Polcaro, V. F.', u'Rossi, C.']",19,7.0,,Astronomy and Astrophysics,[u'AG Carinae. III. The 1990 hot phase of the star and the physical structure of the circumstellar environment.'],1993
"[u'Kenmoku, Masakatsu', u'Okamoto, Yuko', u'Shigemoto, Kazuyasu']",11,,13.0,Physical Review D,[u'Generalized Einstein theory on solar and galactic scales'],1993
"[u'Herant, Marc', u'Benz, Willy', u'Hix, W. Raphael', u'Fryer, Chris L.', u'Colgate, Stirling A.']",418,,,The Astrophysical Journal,[u'Inside the Supernova: A Powerful Convective Engine'],1994
"[u'Skarzhinsky, Vladimir D.', u'Harari, Diego D.', u'Jasper, Ulf']",14,,19.0,Physical Review D,[u'Quantum electrodynamics in the gravitational field of a cosmic string'],1994
"[u'Katz, J. I.']",3,,,American Institute of Physics Conference Series,[u'A burst of speculation.'],1993
"[u'Mannheim, Philip D.']",1,,14.0,ArXiv e-prints,[u'Linear Potentials and Galactic Rotation Curves - Representative Fitting'],1993
"[u'Gangui, Alejandro', u'Lucchin, Francesco', u'Matarrese, Sabino', u'Mollerach, Silvia']",332,,18.0,The Astrophysical Journal,[u'The Three-Point Correlation Function of the Cosmic Microwave Background in Inflationary Models'],1994
"[u'Tytler, David', u'Fan, Xiao-Ming']",25,,9.0,The Astrophysical Journal,[u'Upper Limits on Metals in Quasar Lyman- alpha Forest Clouds: Absence of C IV Lines in Echelle Spectra'],1994
"[u'Bahcall, John']",0,,11.0,ArXiv e-prints,"[u""Summary Talk: International Symposium on Neutrino Astrophysics, Takayama/Kamioka (10/'92)""]",1992
"[u'Levin, Janna J.', u'Freese, Katherine']",27,,34.0,Nuclear Physics B,[u'Curvature and flatness in a Brans-Dicke universe'],1994
"[u'Krauss, Lawrence M.']",0,,16.0,ArXiv e-prints,"[u'The Impact of COBE on Inflation, Dark Matter, and Structure Formation: a Brief Review']",1993
"[u'Krisciunas, K.']",0,,15.0,Journal of the Royal Astronomical Society of Canada,"[u'Look-back time, the age of the universe and the case for a positive cosmological constant.']",1993
"[u'Usov, V. V.']",23,,12.0,The Astrophysical Journal,[u'Radiation from Vela-like Pulsars near the Death Line'],1994
"[u'Tegmark, Max', u'Silk, Joseph', u'Evrard, August']",76,6.0,29.0,The Astrophysical Journal,[u'Late Reionization by Supernova-driven Winds'],1993
"[u'Akhmedov, E. Kh.', u'Lanza, A.', u'Petcov, S. T.']",32,5.0,16.0,Physics Letters B,[u'Implications of gallium solar neutrino data for the resonant spin-flavor precession scenario'],1993
"[u'Bryan, James A.', u'Carroll, Sean M.', u'Pyne, Ted']",10,,34.0,Physical Review D,[u'Texture bestiary: From symmetry-breaking patterns to topological field configurations'],1994
"[u'Sofue, Yoshiaki', u'Wakamatsu, Ken-Ichi']",21,,5.0,The Astronomical Journal,[u'A Polar-Nucleus Dark Lane in the Barred Spiral M83: Three-Dimensional Accretion in the Nucleus'],1994
"[u'Falk, Toby', u'Rangarajan, Raghavan', u'Srednicki, Mark']",182,3.0,7.0,The Astrophysical Journal,[u'The Angular Dependence of the Three-Point Correlation Function of the Cosmic Microwave Background Radiation as Predicted by Inflationary Cosmologies'],1993
"[u'Steinhardt, P. J.']",17,,18.0,Classical and Quantum Gravity,[u'Recent advances in extended inflationary cosmology'],1993
"[u'Danese, L.', u'Toffolatti, L.', u'Franceschini, A.', u'Martin-Mirones, J. M.', u'de Zotti, G.']",7,,28.0,The Astrophysical Journal,[u'Angular Correlations of the X-Ray Background and Clustering of Extragalactic X-Ray Sources'],1993
"[u'Dudley, C. C.', u'Wynn-Williams, C. G.']",13,,,The Astrophysical Journal,[u'The 8--13 Micron Spectrum of ARP 299C'],1993
"[u'Cappi, A.', u'Maurogordato, S.']",29,,20.0,Astronomy and Astrophysics,[u'The spatial distribution of nearby galaxy clusters in the northern and southern galactic hemispheres.'],1992
"[u'Dekel, Avishai', u'Rees, Martin J.']",69,,9.0,The Astrophysical Journal,[u'Omega from Velocities in Voids'],1994
"[u'Srednicki, Mark']",42,2.0,8.0,The Astrophysical Journal,[u'Cosmic Variance of the Three-Point Correlation Function of the Cosmic Microwave Background'],1993
"[u'Seaquist, E. R.', u'Ivison, R. J.']",4,,6.0,Monthly Notices of the Royal Astronomical Society,[u'A search for symbiotic behaviour amongst OH/IR colour mimics.'],1994
"[u'Charmandaris, V.', u'Appleton, P. N.', u'Marston, A. P.']",19,11.0,,The Astrophysical Journal,[u'Threshold Star-Formation Effects in the Peculiar Galaxy ARP 10 (= VV 362)'],1993
"[u'Kuijken, Konrad']",23,,19.0,The Astrophysical Journal,[u'An Axisymmetric Distribution Function for the Galactic Bulge'],1995
"[u'Bertschinger, Edmund', u'Hamilton, A. J. S.']",45,,17.0,The Astrophysical Journal,[u'Lagrangian Evolution of the Weyl Tensor'],1994
"[u'Lyth, David H', u'Liddle, Andrew A']",0,,51.0,ArXiv e-prints,[u'The Spectral Index in the CDM Cosmogony'],1992
"[u'Lai, Dong', u'Rasio, Frederic A.', u'Shapiro, Stuart L.']",73,,37.0,The Astrophysical Journal,"[u'Equilibrium, Stability, and Orbital Evolution of Close Binary Systems']",1994
"[u'Plionis, Manolis']",2,,31.0,ArXiv e-prints,[u'Position Angles and Alignments of Galaxy Clusters'],1993
"[u'Feldman, Hume A.', u'Evrard, August E.']",18,5.0,8.0,International Journal of Modern Physics D,[u'Structure in a Loitering Universe'],1993
"[u'Perivolaropoulos, Leandros']",29,6.0,16.0,The Astrophysical Journal,[u'Spectral Analysis of Microwave Background Perturbations Induced by Cosmic Strings'],1995
"[u'Katz, J. I.']",227,,,The Astrophysical Journal,[u'Low-Frequency Spectra of Gamma-Ray Bursts'],1994
"[u'Hanawa, Tomoyuki', u'Matsumoto, Ryoji', u'Shibata, Kazunari']",14,,12.0,The Astrophysical Journal,[u'Giant Molecular Cloud Formation through the Parker Instability in a Skewed Magnetic Field'],1992
"[u'Nambu, Yasusada']",2,,,Physics Letters B,[u'Fate of inhomogeneity in Schwarzschild-deSitter space-time'],1994
"[u'Dodelson, Scott', u'Knox, Lloyd', u'Kolb, Edward W.']",23,4.0,11.0,Physical Review Letters,[u'Testing inflation with the cosmic microwave background'],1994
"[u'Narayan, Ramesh', u'Loeb, Abraham', u'Kumar, Pawan']",37,9.0,44.0,The Astrophysical Journal,[u'Causality in Strong Shear Flows'],1994
"[u'Richter, O. -G.', u'Sackett, P. D.', u'Sparke, L. S.']",68,,34.0,The Astronomical Journal,[u'A Neutral Hydrogen Survey of Polar-Ring Galaxies. I. Green Bank Observations of the Northern Sample'],1994
"[u'Kung, J. H.']",3,,16.0,Physical Review D,[u'Comparison of the Sachs-Wolfe effect for Gaussian and non-Gaussian fluctuations'],1993
"[u'Munshi, Dipak', u'Starobinsky, Alexei A.']",24,,,The Astrophysical Journal,[u'Nonlinear Approximations to Gravitational Instability: A Comparison in Second-Order Perturbation Theory'],1994
"[u'Hu, B. L.', u'Matacz, A.']",83,,42.0,Physical Review D,[u'Quantum Brownian motion in a bath of parametric oscillators: A model for system-field interactions'],1994
"[u'Bell, K. R.', u'Lin, D. N. C.']",402,9.0,38.0,The Astrophysical Journal,[u'Using FU Orionis Outbursts to Constrain Self-regulated Protostellar Disk Models'],1994
"[u'Jaffe, Andrew H.', u'Stebbins, Albert', u'Frieman, Joshua A.']",17,,25.0,The Astrophysical Journal,[u'Minimal Microwave Anisotropy from Perturbations Induced at Late Times'],1994
"[u'Vishniac, E. T.']",0,,11.0,Interacting Binary Stars,"[u'Why Disks Shine: The Transport of Angular Momentum in Hot, Thin Disks']",1994
"[u'Hochberg, David', u'Kephart, Thomas W.']",33,,17.0,Physical Review D,[u'Gauge field back reaction on a black hole'],1993
"[u'Raffelt, G.', u'Sigl, G.']",48,3.0,24.0,Astroparticle Physics,[u'Neutrino flavor conversion in a supernova core'],1993
"[u'Dalton, G. B.', u'Efstathiou, G.', u'Maddox, S. J.', u'Sutherland, W. J.']",89,,15.0,Monthly Notices of the Royal Astronomical Society,[u'The APM galaxy survey. IV. Redshifts of rich clusters of galaxies.'],1994
"[u'Akhmedov, E. Kh.', u'Petcov, S. T.', u'Smirnov, A. Yu.']",56,4.0,35.0,Physical Review D,[u'Neutrinos with mixing in twisting magnetic fields'],1993
"[u'Lalak, Zygmunt', u'Thomas, Steven', u'Ovrut, Burt A.']",4,,,Physics Letters B,[u'Domain wall formation in the post-inflationary universe'],1993
"[u'Holman, R.', u'Kephart, T. W.', u'Rey, Soo-Jong']",4,,13.0,Physical Review Letters,[u'Semiclassical gravity and invisible axions'],1993
"[u'Cen, Renyue', u'Ostriker, Jeremiah P.']",33,,,The Astrophysical Journal,[u'A Hydrodynamic Approach to Cosmology: The Mixed Dark Matter Cosmological Scenario'],1994
"[u'Kjeldsen, H.', u'Bedding, T. R.']",456,,,Astronomy and Astrophysics,[u'Amplitudes of stellar oscillations: the implications for asteroseismology.'],1995
"[u'Borgani, S.', u'Coles, P.', u'Moscardini, L.']",23,6.0,9.0,Monthly Notices of the Royal Astronomical Society,"[u""Cluster correlations in the Zel'dovich approximation""]",1994
"[u'Turner, Michael S.', u'White, Martin', u'Lidsey, James E.']",106,,31.0,Physical Review D,[u'Tensor perturbations in inflationary models as a probe of cosmology'],1993
"[u'Austin, Daren', u'Copeland, E. J.', u'Kibble, T. W. B.']",101,,61.0,Physical Review D,[u'Evolution of cosmic string configurations'],1993
"[u'Nemiroff, Robert J.']",44,,23.0,American Journal of Physics,[u'Visual distortions near a neutron star and black hole'],1993
"[u'Karas, V.', u'Vokrouhlicky, D.']",0,14.0,55.0,ArXiv e-prints,[u'Motion of a Solar Mass Compact Object Around a Massive Rotating Black Hole'],1993
"[u'Marziani, P.', u'Sulentic, J. W.', u'Calvani, M.', u'Perez, E.', u'Moles, M.', u'Penston, M. V.']",50,,28.0,The Astrophysical Journal,[u'The Peculiar Balmer Line Profiles of OQ 208'],1993
"[u'Nemiroff, R. J.', u'Norris, J. P.', u'Kouveliotou, C.', u'Fishman, G. J.', u'Meegan, C. A.', u'Paciesas, W. S.']",52,,10.0,The Astrophysical Journal,[u'Gamma-Ray Bursts Are Time-asymmetric'],1994
"[u'Wu, X. -P.', u'Hammer, F.']",3,5.0,6.0,Astronomy and Astrophysics,[u'Galaxy-cluster associations from gravitational lensing.'],1995
"[u'Weinberg, Martin D.']",47,,,The Astronomical Journal,[u'Adiabatic Invariants in Stellar Dynamics . III. Application to Globular Cluster Evolution'],1994
"[u'Jedamzik, Karsten', u'Fuller, George M.', u'Mathews, Grant J.']",52,17.0,30.0,The Astrophysical Journal,[u'Inhomogeneous Primordial Nucleosynthesis: Coupled Nuclear Reactions and Hydrodynamic Dissipation Processes'],1994
"[u'Cappellaro, E.', u'Turatto, M.', u'Benetti, S.', u'Tsvetkov, D. Yu.', u'Bartunov, O. S.', u'Makarova, I. N.']",97,3.0,9.0,Astronomy and Astrophysics,[u'The rate of supernovae. II. The selection effects and the frequencies per unit blue luminosity.'],1993
"[u'Amendola, Luca']",16,,9.0,The Astrophysical Journal,[u'Non-Gaussian Statistics of Pencil Beam Surveys'],1994
"[u'Brandenberger, Robert H.']",92,34.0,93.0,International Journal of Modern Physics A,[u'Topological Defects and Structure Formation'],1994
"[u'Meszaros, P.', u'Laguna, P.', u'Rees, M. J.']",207,,18.0,The Astrophysical Journal,"[u'Gasdynamics of Relativistically Expanding Gamma-Ray Burst Sources: Kinematics, Energetics, Magnetic Fields, and Efficiency']",1993
"[u'de Vega, H. J.', u'Egusquiza, I. L.']",34,,,Physical Review D,[u'Strings in cosmological and black hole backgrounds: Ring solutions'],1994
"[u'Mamon, G.']",28,,17.0,N-body Problems and Gravitational Dynamics,[u'Dynamical Theory of groups and Clusters of Galaxies'],1993
"[u'Chernin, Lawrence', u'Masson, Colin', u'de Gouveia dal Pino, Elisabete M.', u'Benz, Willy']",109,9.0,,The Astrophysical Journal,[u'Momentum Transfer by Astrophysical Jets'],1994
"[u'Jetzer, P.']",33,,9.0,Astronomy and Astrophysics,[u'Gravitational microlensing by the halo of the Andromeda galaxy'],1994
"[u'Hegyi, S.']",9,,14.0,Physics Letters B,[u'Scaling laws in hierarchical clustering models with Poisson superposition'],1994
"[u'Dodelson, Scott', u'Kosowsky, Arthur', u'Myers, Steven T.']",4,,,The Astrophysical Journal,[u'Noise Correlations in Cosmic Microwave Background Experiments'],1995
"[u'Horvath, J. E.']",0,,,ArXiv e-prints,[u'\\bf Combustion Gasdynamics in Proto-Neutron Stars'],1993
"[u'Gandhi, Raj', u'Lopez, Jorge L.', u'Nanopoulos, D. V.', u'Yuan, Kajia', u'Zichichi, A.']",22,10.0,18.0,Physical Review D,[u'Scrutinizing supergravity models through neutrino telescopes'],1994
"[u'Umemura, Masayuki', u'Loeb, Abraham', u'Turner, Edwin L.']",76,,,The Astrophysical Journal,[u'Early Cosmic Formation of Massive Black Holes'],1993
"[u'Biermann, P. L.']",2,,62.0,High Energy Astrophysics,[u'AGN and Galactic Sites of Cosmic Ray Origin'],1994
"[u'Dubinski, John', u'Kuijken, Konrad']",68,,27.0,The Astrophysical Journal,[u'The Settling of Warped Disks in Oblate Dark Halos'],1995
"[u'Henriksen, Richard N.', u'Widrow, Lawrence M.']",30,,11.0,The Astrophysical Journal,[u'Hydrogen Clouds and the MACHO/EROS Events'],1995
"[u'Smith, Frank D., Jr']",0,,,ArXiv e-prints,[u'Gamma Ray Bursts and CETI'],1993
"[u'Nunez, D.', u'de Oliveira, H. P.', u'Salim, J.']",14,,19.0,Classical and Quantum Gravity,[u'Dynamics and collision of massive shells in curved backgrounds'],1993
"[u'Bedding, Timothy R.']",25,,8.0,The Astronomical Journal,[u'The Orbit of the Binary Star Delta Scorpii'],1993
"[u'Jain, Bhuvnesh', u'Bertschinger, Edmund']",175,,25.0,The Astrophysical Journal,[u'Second-Order Power Spectrum and Nonlinear Evolution at High Redshift'],1994
"[u'Mecke, K. R.', u'Buchert, T.', u'Wagner, H.']",210,,17.0,Astronomy and Astrophysics,[u'Robust morphological measures for large-scale structure in the Universe'],1994
"[u'Norretranders, T.', u'Bohr, J.', u'Brunak, S.']",1,,18.0,ArXiv e-prints,[u'Cavitation of Matter in the Universe into a Degenerated Voronoi Foam'],1993
"[u'Mamon, G.']",2,,15.0,N-body Problems and Gravitational Dynamics,[u'Bulge/disk Segregation in the Universe'],1993
"[u'Bouquet, A.', u'Kaplan, J.', u'Melchior, A. -L.', u'Giraud-H\xe9raud, Y.', u'Baillon, P.']",1,4.0,8.0,The Dark Side of the Universe - Experimental Efforts and Theoretical Framework,[u'Microlensing of unresolved stars as a brown dwarf detection method.'],1994
"[u'Buchert, T.', u'Weiss, A. G.']",2,,,Cosmic Velocity Fields,[u'Third-order Lagrangian perturbation theory - realization at high-spatial resolution'],1993
"[u'Horvath, J. E.']",19,,,Physical Review D,[u'Curvature energy effects on strange quark matter nucleation at finite density'],1994
"[u'Marziani, P.', u'Keel, W. C.', u'Dultzin-Hacyan, D.', u'Sulentic, J. W.']",10,9.0,,The Astrophysical Journal,[u'Multiple High-Velocity Emission-Line Systems in the E+S Pair CPG 29'],1994
"[u'Hu, Wayne', u'Scott, Douglas', u'Silk, Joseph']",73,,,The Astrophysical Journal,[u'Power Spectrum Constraints from Spectral Distortions in the Cosmic Microwave Background'],1994
"[u'Nagasawa, Michiyasu', u'Kawasaki, Masahiro']",39,6.0,6.0,Physical Review D,[u'Collapse of axionic domain wall and axion emission'],1994
"[u'Mende, Paul F.']",11,,15.0,String Quantum Gravity and Physics at the Planck Energy Scale,[u'String Theory at Short Distance and the Principle of Equivalence'],1993
"[u'Mohanty, Subhendra', u'Panda, Prafulla Kumar']",5,,13.0,Physical Review D,[u'Particle physics bounds from the Hulse-Taylor binary'],1996
"[u'Kiselman, D.']",34,,13.0,Astronomy and Astrophysics,[u'A NLTE study of neutral boron in solar-type stars'],1994
"[u'Krauss, Lawrence M.', u'Terning, John', u'Appelquist, Thomas']",11,,12.0,Physical Review Letters,[u'Neutrino cosmology and limits on extended technicolor'],1993
"[u'Ferrara, A.', u'Field, G. B.']",49,7.0,19.0,The Astrophysical Journal,[u'On the Distance Determination and Ionization of the High-Velocity Clouds'],1994
"[u'Bertschinger, Edmund', u'Jain, Bhuvnesh']",79,,23.0,The Astrophysical Journal,[u'Gravitational Instability of Cold Matter'],1994
"[u'Finn, Lee Samuel', u'Chernoff, David F.']",267,7.0,40.0,Physical Review D,[u'Observing binary inspiral in gravitational radiation: One interferometer'],1993
"[u'Stewart, Ewan D.', u'Lyth, David H.']",409,,9.0,Physics Letters B,[u'A more accurate analytic calculation of the spectrum of cosmological perturbations produced during inflation'],1993
"[u'Giuricin, Giuliano', u'Monaco, Pierluigi', u'Mardirossian, Fabio', u'Mezzetti, Marino']",8,,15.0,The Astrophysical Journal,[u'The Local Galaxy Density and the Arm Class of Spiral Galaxies'],1994
"[u'Bartelmann, M.', u'Weiss, A.']",66,,26.0,Astronomy and Astrophysics,[u'Arc statistics with realistic cluster potentials I. Method and first results.'],1994
"[u'Bouquet, A.']",4,,,Astronomy and Astrophysics,[u'Lensing of invisible stars by brown dwarfs.'],1993
"[u'Krisciunas, Kevin']",0,,7.0,ArXiv e-prints,[u'Strange Cases from the Files of Astronomical Sociology'],1993
"[u'Kurki-Suonio, Hannu', u'Mathews, Grant']",0,7.0,18.0,ArXiv e-prints,[u'Constraints on Chaotic Inflation from the COBE DMR results'],1993
"[u'Mazzei, P.', u'de Zotti, G.', u'Xu, C.']",40,,,The Astrophysical Journal,[u'Models for the Evolution of the Spectral Energy Distribution of Elliptical Galaxies for Ultraviolet to Far-Infrared Wavelengths'],1994
"[u'Serna, A.', u'Alimi, J. -M.', u'Scholl, H.']",11,13.0,26.0,The Astrophysical Journal,[u'Subclustering and Luminous-Dark Matter Segregation in Galaxy Clusters'],1994
"[u'Katz, J. I.']",6,,10.0,Astrophysics and Space Science,[u'The Ptolemaic gamma-ray burst universe'],1992
"[u'Chakrabarti, Sandip K.', u""D'Silva, Sydney""]",22,,31.0,The Astrophysical Journal,[u'Magnetic Activity in Thick Accretion Disks and Associated Observable Phenomena. I. Flux Expulsion'],1994
"[u'Feldman, H. A.', u'Watkins, R.']",1,,9.0,Cosmic Velocity Fields,[u'Measuring bulk flows in large scale surveys'],1993
"[u'Nusser, Adi', u'Davis, Marc']",118,,11.0,The Astrophysical Journal,[u'On the Prediction of Velocity Fields from Redshift Space Galaxy Samples'],1994
"[u'Hu, Bei-lok', u'Matacz, Andrew']",2,,25.0,ArXiv e-prints,[u'Quantum Noise in Gravitation and Cosmology'],1993
"[u'Paiva, F. M.', u'Reboucas, M. J.', u'McCullaum, M. A. H.']",28,,,Classical and Quantum Gravity,[u'On limits of spacetimes-a coordinate-free approach'],1993
"[u'Blackman, Eric G.', u'Field, George B.']",35,,12.0,Physical Review Letters,"[u""Ohm's law for a relativistic pair plasma""]",1993
"[u'Bond, J. R.']",21,,11.0,Astrophysical Letters and Communications,[u'CMB Broad-Band Power Spectrum Estimation'],1995
"[u'Torres, S.']",0,,8.0,ArXiv e-prints,[u'Analysis of Spots in the COBE DMR First Year Anisotropy Maps'],1994
"[u'Roszkowski, L.']",0,,23.0,Acta Physica Polonica B,[u'On the COBE discovery - for pedestrians.'],1992
"[u'Mancinelli, P. J.', u'Yahil, A.', u'Canon, G.', u'Dekel, A.']",6,,6.0,Cosmic Velocity Fields,[u'On nonlinear approximations to cosmic problems with mixed boundary conditions'],1993
"[u'Fry, J. N.', u'Gaztanaga, Enrique']",316,,11.0,The Astrophysical Journal,[u'Biasing and Hierarchical Statistics in Large-Scale Structure'],1993
"[u'Bertschinger, E.']",2,,10.0,Cosmic Velocity Fields,[u'Kinematical and dynamical approaches to gravitational instability'],1993
"[u'Rybicki, George B.', u""dell'Antonio, Ian P.""]",46,10.0,30.0,The Astrophysical Journal,[u'The Time Development of a Resonance Line in the Expanding Universe'],1994
"[u'Albrecht, Andreas']",6,,25.0,Journal of Modern Optics,[u'Some Remarks on Quantum Coherence'],1994
"[u'Cole, S.', u'Fisher, K. B.', u'Weinberg, D. H.']",131,,,Monthly Notices of the Royal Astronomical Society,[u'Fourier Analysis of Redshift Space Distortions and the Determination of Omega'],1994
"[u'Hata, Naoya']",1,,19.0,ArXiv e-prints,[u'Vacuum Oscillations and Future Solar Neutrino Experiments'],1994
"[u'Zhang, Xiao-He', u'Sutherland, Peter']",1,,24.0,The Astrophysical Journal,[u'A New Radiation Hydrodynamics Code and Application to the Calculation of Type IA Supernovae Light Curves and Continuum Spectra'],1994
"[u'Strauss, Michael', u'Koranyi, Daniel']",1,,10.0,ArXiv e-prints,[u'Tests of the Hubble Law from the Luminosity Function of IRAS Galaxies'],1993
"[u'Bilenky, S. M.', u'Giunti, C.']",2,,11.0,ArXiv e-prints,[u'Future Solar Neutrino Experiments and Neutrino Spin-Flavour Precession'],1993
"[u'Bekenstein, Jacob D.', u'Sanders, Robert H.']",78,,23.0,The Astrophysical Journal,[u'Gravitional Lenses and Unconventional Gravity Theories'],1994
"[u'Dekel, A.']",0,6.0,9.0,Cosmic Velocity Fields,[u'Determining \u03a9 from peculiar velocities'],1993
"[u'Seljak, Uros', u'Bertschinger, Edmund']",40,,9.0,The Astrophysical Journal,[u'Maximum-Likelihood Analysis of the COBE Angular Correlation Function'],1993
"[u'Horowitz, C. J.', u'Pantaleone, J.']",10,,14.0,Physics Letters B,[u'Long range forces from the cosmological neutrino background'],1993
"[u'Matacz, A. L.']",38,,25.0,Physical Review D,[u'Coherent state representation of quantum fluctuations in the early Universe'],1994
"[u'Carlberg, R. G.', u'Pritchet, C. J.', u'Infante, L.']",117,,,The Astrophysical Journal,[u'A Survey of Faint Galaxy Pairs'],1994
