Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Bahcall, Neta A.', u'Cen, Renyue']",13,,,The Astrophysical Journal,[u'The Correlation Function of Flux-limited X-Ray Clusters'],1994
"[u'Faraoni, Valerio', u'Sonego, Sebastiano']",14,,12.0,Physics Letters A,[u'On the tail problem in cosmology'],1992
"[u'Hut, P.']",15,,22.0,Blue Stragglers,[u'Blue Stragglers as Tracers of Globular Cluster Evolution'],1993
"[u'Martin, T. J.', u'Pearce, F. R.', u'Thomas, P. A.']",0,5.0,15.0,ArXiv e-prints,"[u""An Owner's Guide to Smoothed Particle Hydrodynamics""]",1993
"[u'Giampieri, Giacomo']",3,4.0,14.0,ArXiv e-prints,[u'Sinusoidal Gravitational Waves from the Nuclei of Active Galaxies'],1993
"[u'Martin, E. L.', u'Rebolo, R.', u'Magazzu, A.', u'Pavlenko, Ya. V.']",125,,,Astronomy and Astrophysics,[u'Pre-main sequence lithium burning. I. Weak T Tauri stars.'],1994
"[u'Malec, Edward', u'Murchadha, Niall \xd3.']",9,,36.0,Physical Review D,[u'Trapped surfaces and spherical closed cosmologies'],1993
"[u'Gleiser, Marcelo', u'Kolb, Edward W.']",38,,26.0,Physical Review D,[u'Critical behavior in the electroweak phase transition'],1993
"[u'Kaiser, N.', u'Malaney, R. A.', u'Starkman, G. D.']",16,3.0,7.0,Physical Review Letters,[u'Neutrino lasing in the early Universe'],1993
"[u'Speliotopoulos, Achilles D.']",0,,16.0,ArXiv e-prints,[u'The Energy Density of a Gas of Photons Surrounding a Spherical Mass $M$ at a Non-Zero Temperature'],1993
"[u'Cho, H. T.', u'Ng, K. -W.', u'Speliotopoulos, A. D.']",11,,,Physics Letters B,[u'A hydrodynamical analysis of the burning of a neutron star'],1994
"[u'Bruni, M.', u'Piotrkowska, K.']",4,4.0,21.0,Monthly Notices of the Royal Astronomical Society,[u'Dust / Radiation Universes - Stability Analysis'],1994
"[u'Ferrini, F.', u'Poggianti, B. M.']",0,,32.0,European Southern Observatory Conference and Workshop Proceedings,[u'Evolution of Elliptical Galaxies: The Multiphase Model'],1993
"[u'Mohazzab, M.']",4,,8.0,International Journal of Modern Physics D,[u'Cusp Annihilation on Ordinary Cosmic Strings'],1994
"[u'Partovi, M. Hossein']",7,,15.0,Physical Review D,"[u""QED corrections to Planck's radiation law and photon thermodynamics""]",1994
"[u'Piran, T.', u'Lecar, M.', u'Goldwirth, D. S.', u'Nicolaci da Costa, L.', u'Blumenthal, G. R.']",3,,23.0,ArXiv e-prints,[u'Limits on the Primordial Fluctuation Spectrum Void Sizes and CMBR Anisotropy'],1993
"[u'van de Weygaert, R.', u'Babul, A.']",41,,11.0,The Astrophysical Journal,[u'Shear fields and the evolution of galactic scale density peaks'],1994
"[u'Matarrese, S.', u'Catelan, P.', u'Lucchin, F.', u'Moscardini, L.', u'Pantano, O.', u'Saez, D.']",0,,7.0,Cosmic Velocity Fields,[u'Non-linear dynamics of irrotational dust: Eulerian and Lagrangian approaches'],1993
"[u'Chuong, Nguyen Hong', u'Van Hoang, Nguyen']",0,,17.0,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Bianchi Cosmological Models in the Minimum Quadratic Poincare Gauge Theory of Gravity'],1993
"[u'Krauss, Lawrence M.', u'Gates, Evalyn', u'White, Martin']",44,3.0,10.0,Physics Letters B,"[u'Solar neutrino data, solar model uncertainties and neutrino oscillations']",1993
"[u'Malhotra, Sangeeta']",71,,25.0,The Astrophysical Journal,[u'The Vertical Equilibrium of Molecular Gas in the Galactic Disk'],1994
"[u'Kaiser, David I.']",14,3.0,,Physical Review D,[u'Constraints in the context of induced-gravity inflation'],1994
"[u'Gasperini, M.', u'Giovannini, M.', u'Veneziano, G.']",59,,13.0,Physical Review D,[u'Squeezed thermal vacuum and the maximum scale for inflation'],1993
"[u'Lidsey, J. E.']",7,,17.0,Monthly Notices of the Royal Astronomical Society,[u'Tilting of the Primordial Power Spectrum with Bulk Viscosity'],1994
"[u'Halzen, F.', u'Jacobsen, J. E.']",0,,,Sources of Dark Matter in the Universe,[u'The Indirect Detection of Halo Dark Matter'],1995
"[u'McGaugh, Stacy S.']",92,3.0,9.0,Nature,[u'A possible local counterpart to the excess population of faint blue galaxies'],1994
"[u'Dekel, Avishai']",275,,46.0,Annual Review of Astronomy and Astrophysics,[u'Dynamics of Cosmic Flows'],1994
"[u'Freudling, W.', u'Nicolaci da Costa, L.', u'Pellegrin, P. S.']",12,,12.0,Monthly Notices of the Royal Astronomical Society,[u'Testing the peculiar velocity field predicted from redshift surveys.'],1994
"[u'Gasperini, M.', u'Giovannini, M.']",40,,7.0,Classical and Quantum Gravity,[u'Quantum squeezing and cosmological entropy production'],1993
"[u'Frewin, Richard A.', u'Lidsey, James E.']",10,,32.0,International Journal of Modern Physics D,[u'On Identifying the Present-Day Vacuum Energy with the Potential Driving Inflation'],1993
"[u'Hu, B. L.', u'Sinha, Sukanya']",75,,38.0,Physical Review D,[u'Fluctuation-dissipation relation for semiclassical cosmology'],1995
"[u'Soares, D. S. L.']",0,,12.0,Revista Mexicana de Astronomia y Astrofisica,[u'An alternative view of flat rotation curves. II. The observations.'],1994
"[u'Hughes, V. A.', u'Cohen, R. J.', u'Garrington, S.']",36,,11.0,Monthly Notices of the Royal Astronomical Society,[u'High-resolution observations of Cepheus A'],1995
"[u'Holdom, B.', u'Malaney, R. A.']",10,,12.0,The Astrophysical Journal,[u'Neutrino Balls and Gamma-Ray Bursts'],1994
"[u'Hanawa, Tomoyuki', u'Yamamoto, Satoshi', u'Hirahara, Yasuhiro']",17,,,The Astrophysical Journal,[u'Sequential Star Formation in Taurus Molecular Cloud 1'],1994
"[u'Munshi, Dipak', u'Sahni, Varun', u'Starobinsky, Alexei A.']",67,,21.0,The Astrophysical Journal,[u'Nonlinear Approximations to Gravitational Instability: A Comparison in the Quasi-linear Regime'],1994
"[u'MacGibbon, Jane H.', u'Brandenberger, Robert H.']",16,4.0,33.0,Physical Review D,[u'\u03b3-ray signatures from ordinary cosmic strings'],1993
"[u'Solmi, L.', u'Galli, M.']",0,,4.0,Memorie della Societa Astronomica Italiana,[u'CBS - A program for close binary system light curve analysis'],1993
"[u'Schramm, K. -J.', u'Borgeest, U.', u'Kuehl, D.', u'Linde, J. V.', u'Linnert, M. D.']",6,,7.0,Astronomy and Astrophysics Supplement Series,[u'The Hamburg Quasar Monitoring program (HQM) at Calar Alto. II. Lightcurves of weakly variable objects'],1994
"[u'Sofue, Yoshiaki']",26,,,The Astrophysical Journal,[u'Ram-Pressure Stripping of Gas from Companions and Accretion onto a Spiral Galaxy: A Gaseous Merger'],1994
"[u'Mannheim, K.']",37,,21.0,Physical Review D,[u'\u03b3 rays and neutrinos from a powerful cosmic accelerator'],1993
"[u'Fisher, K. B.', u'Davis, M.', u'Strauss, M. A.', u'Yahil, A.', u'Huchra, J.']",148,12.0,23.0,Monthly Notices of the Royal Astronomical Society,[u'Clustering in the 1.2-Jy IRAS Galaxy Redshift Survey. I - The redshift and real space correlation functions'],1994
"[u'Adams, Fred C.', u'Freese, Katherine']",9,,30.0,Physical Review D,[u'Scalar field potential in inflationary models: Reconstruction and further constraints'],1995
"[u'Arzoumanian, Z.', u'Fruchter, A. S.', u'Taylor, J. H.']",73,3.0,9.0,The Astrophysical Journal,[u'Orbital Variability in the Eclipsing Pulsar Binary PSR B1957+20'],1994
"[u'Salopek, D. S.', u'Stewart, J. M.', u'Croudace, K. M.']",32,,25.0,Monthly Notices of the Royal Astronomical Society,[u'The Zeldovich Approximation and the Relativistic Hamilton-Jacobi Equation'],1994
"[u'Cutler, Curt', u'Apostolatos, Theocharis A.', u'Bildsten, Lars', u'Finn, Lee Smauel', u'Flanagan, Eanna E.', u'Kennefick, Daniel', u'Markovic, Dragoljub M.', u'Ori, Amos', u'Poisson, Eric', u'Sussman, Gerald Jay', u'Thorne, Kip S.']",346,,5.0,Physical Review Letters,[u'The last three minutes: Issues in gravitational-wave measurements of coalescing compact binaries'],1993
"[u'Evrard, August E.', u'Mohr, Joseph J.', u'Fabricant, Daniel G.', u'Geller, Margaret J.']",91,,9.0,The Astrophysical Journal,[u'A Morphology-Cosmology Connection for X-Ray Clusters'],1993
"[u'Frail, D. A.', u'Goss, W. M.', u'Slysh, V. I.']",113,,13.0,The Astrophysical Journal,[u'Shock-excited Maser Emission from the Supernova Remnant W28'],1994
"[u'\xc5minneborg, Stefan']",7,9.0,12.0,Nuclear Physics B,[u'The probability for formation of collapsing textures and texture knots'],1992
"[u'Strauss, M.', u'Cen, R.', u'Ostriker, J. P.']",0,,10.0,Cosmic Velocity Fields,[u'Confrontation of the Lauer and Postman cluster velocity field with models'],1993
"[u'Bennett, David P.', u'Akerlof, C.', u'Alcock, C.', u'Allsman, R.', u'Axelrod, T.', u'Cook, K. H.', u'Freeman, K.', u'Griest, K.', u'Marshall, S.', u'Park, H. -S.', u'Perlmutter, S.', u'Peterson, B.', u'Quinn, P.', u'Rodgers, A.', u'Stubbs, C. W.', u'Sutherland, W.']",7,,7.0,Texas/PASCOS '92: Relativistic Astrophysics and Particle Cosmology,[u'The First Data from the MACHO Experiment'],1993
"[u'Ghosh, Sanjay K.', u'Phatak, S. C.', u'Sahu, Pradip K.']",5,,15.0,Modern Physics Letters A,[u'On the Limitations of Neutrino Emissivity Formula of Iwamoto'],1994
"[u'Jungman, Gerard', u'Kamionkowski, Marc']",53,,,Physical Review D,[u'Cosmic-ray antiprotons from neutralino annihilation into gluons'],1994
"[u'Ellingsen, S. P.', u'Norris, R. P.', u'Whiteoak, J. B.', u'Vaile, R. A.', u'McCulloch, P. M.', u'Price, M. G.']",9,,,Monthly Notices of the Royal Astronomical Society,[u'A search for extragalactic methanol masers.'],1994
"[u'Bouchet, F. R.', u'Juszkiewicz, R.']",3,7.0,19.0,Cosmic Velocity Fields,[u'Perturbation theory confronts observations: implications for the initial conditions and \u03a9'],1993
"[u'Krisciunas, Kevin']",1,,5.0,ArXiv e-prints,[u'Errata in \\em {Enclyclopedia of Cosmology}'],1993
"[u""Drury, L. O'C."", u'Aharonian, F. A.', u'Voelk, H. J.']",306,,13.0,Astronomy and Astrophysics,[u'The gamma-ray visibility of supernova remnants. A test of cosmic ray origin'],1994
"[u'Heller, Urs M.', u'Klomfass, Markus', u'Neuberger, Herbert', u'Vranas, Pavols']",50,,22.0,Nuclear Physics B,[u'Numerical analysis of the Higgs mass triviality bound'],1993
"[u'Davidson, Sacha', u'Murayama, Hitoshi', u'Olive, Keith A.']",15,,10.0,Physics Letters B,[u'On preserving a B + L asymmetry produced in the early universe'],1994
"[u'Rybicki, G. B.', u'Hummer, D. G.']",23,8.0,10.0,Astronomy and Astrophysics,[u'An accelerated lambda iteration method for multilevel radiative transfer. III. Noncoherent electron scattering'],1994
"[u'Pethick, C. J.', u'Thorsson, Vesteinn']",29,3.0,,Physical Review Letters,[u'Neutrino pair bremsstrahlung in neutron star crusts: A reappraisal'],1994
"[u'Dunn, A. M.', u'Laflamme, R.']",29,,16.0,Monthly Notices of the Royal Astronomical Society,[u'The least action principle and the spin of gaalxies in the Local Group.'],1993
"[u'Bagnasco, John', u'Dine, Michael', u'Thomas, Scott']",76,,11.0,Physics Letters B,[u'Detecting technibaryon dark matter'],1994
"[u'Rachen, J. P.', u'Stanev, T.', u'Biermann, P. L.']",67,3.0,9.0,Astronomy and Astrophysics,[u'Extragalactic ultra-high energy cosmic rays. II. Comparison with experimental data'],1993
"[u'Malec, Edward', u'Murchadha, Niall \xd3']",0,,,ArXiv General Relativity and Quantum Cosmology e-prints,[u'A Quasilocal Test of the Finiteness of the Universe'],1992
"[u'Bunn, Emory F.', u'Hoffman, Yehuda', u'Silk, Joseph']",126,,10.0,The Astrophysical Journal,[u'The Wiener-filtered COBE DMR Data and Predictions for the Tenerife Experiment'],1996
"[u'Flores, Ricardo A.', u'Primack, Joel R.']",399,,15.0,The Astrophysical Journal,[u'Observational and Theoretical Constraints on Singular Dark Matter Halos'],1994
"[u'Laycock, Andrew M.', u'Liddle, Andrew R.']",37,,24.0,Physical Review D,[u'Extended inflation with a curvature-coupled inflaton'],1994
"[u'White, M.']",3,,,Astronomy and Astrophysics,[u'Reconstructing the CMB power spectrum'],1994
"[u'Gasperini, M.', u'Veneziano, G.']",185,2.0,49.0,Physical Review D,[u'Dilaton production in string cosmology'],1994
"[u'Bedding, T. R.', u'Robertson, J. G.', u'Marson, R. G.']",23,,,Astronomy and Astrophysics,[u'An optical interferometer with wavelength dispersion.'],1994
"[u'Turner, Michael S.']",69,,32.0,Physical Review D,[u'Production of scalar and tensor perturbations in inflationary models'],1993
"[u'Cristiani, S.', u'Giallongo, E.', u'Buson, L. M.', u'Gouiffes, C.', u'La Franca, F.']",10,,8.0,Astronomy and Astrophysics,[u'Coordinated UV-optical observations of quasars : the evolution of the Lyman absorption.'],1993
"[u'Spergel, D. N.', u'Pen, U. -L.', u'Kamionkowski, M.', u'Sugiyama, N.']",1,,,Relativistic Cosmology,[u'Microwave background fluctuations in an open universe.'],1994
"[u'Coles, P.', u'Moscardini, L.', u'Lucchin, F.', u'Matarrese, S.', u'Messina, A.']",33,3.0,,Monthly Notices of the Royal Astronomical Society,[u'Skewness as a Test of Non-Gaussian Primordial Density Fluctuations'],1993
"[u'Sofue, Yoshiaki', u'Yoshida, Shigeomi']",15,,3.0,The Astrophysical Journal,[u'CO Emission from Molecular Clouds in the Central Region of M31'],1993
"[u'Thomas, P. A.', u'Vine, S.', u'Pearce, F. R.']",3,,4.0,Monthly Notices of the Royal Astronomical Society,[u'On the Probability of Major-Axis Precession in Triaxial Ellipsoidal Potentials'],1994
"[u'Dominguez-Tenreiro, R.', u'Campos, A.', u'Gomez-Flechoso, M. A.', u'Yepes, G.']",11,,9.0,The Astrophysical Journal,[u'Large-Scale Morphological Segregation in Optically Selected Galaxy Redshift Catalogs'],1994
"[u'Tripicco, Michael J.', u'Dorman, Ben', u'Bell, R. A.']",25,,,The Astronomical Journal,[u'Mass Loss in M67 Giants: Evidence From Isochrone Fitting'],1993
"[u'Jain, B.', u'Bertschinger, E.']",0,,2.0,Cosmic Velocity Fields,[u'Nonlinear effects due to the coupling of long-wave modes'],1993
"[u'Brustein, Ram', u'Steinhardt, Paul J.']",199,2.0,14.0,Physics Letters B,[u'Challenges for superstring cosmology'],1993
"[u'Subramanian, K.', u'Padmanabhan, T.']",9,,,ArXiv e-prints,[u'Constraints on the Models for Structure Formation from the Abundance of Damped Lyman Alpha Systems'],1994
"[u'Jing, Y. P.', u'Mo, H. J.', u'Boerner, G.', u'Fang, L. Z.']",27,,28.0,Astronomy and Astrophysics,[u'The large-scale structure in a universe dominated by cold plus hot dark matter'],1994
"[u'Mayle, R.', u'Schramm, D. N.', u'Turner, Michael S.', u'Wilson, J. R.']",17,,8.0,Physics Letters B,[u'Constraints on Dirac neutrinos from SN 1987A'],1993
"[u'Perivolaropoulos, Leandros']",10,2.0,10.0,Physics Letters B,[u'Existence of double vortex solutions'],1993
"[u'Sofue, Yoshiaki']",26,,4.0,The Astrophysical Journal,[u'Giant Explosion at the Galactic Center and Huge Shocked Shells in the Halo'],1994
"[u'Thomas, David', u'Schramm, David N.', u'Olive, Keith A.', u'Fields, Brian D.']",90,8.0,28.0,The Astrophysical Journal,[u'Primordial Nucleosynthesis and the Abundances of Beryllium and Boron'],1993
"[u'Little, B.', u'Weinberg, D. H.']",39,,36.0,Monthly Notices of the Royal Astronomical Society,[u'Cosmic Voids and Biased Galaxy Formation'],1994
"[u'Ferrara, A.', u'Dettmar, R. -J.']",41,,,The Astrophysical Journal,[u'Radio-emitting Dust in the Free Electron Layer of Spiral Galaxies: Testing the Disk/Halo Interface'],1994
"[u'Bergstr\xf6m, L.', u'Kaplan, J.']",42,,11.0,Astroparticle Physics,[u'Gamma ray lines from TeV dark matter'],1994
"[u'SOFUE, Yoshiaki']",0,,,ArXiv e-prints,[u'Large-Scale Radio Structuers in the Galactic Center'],1993
"[u'Narayan, Ramesh', u'Paczynski, Bohdan', u'Piran, Tsvi']",695,,14.0,The Astrophysical Journal,[u'Gamma-Ray Bursts as the Death Throes of Massive Binary Stars'],1992
"[u'Mannheim, Philip D.']",2,2.0,28.0,ArXiv e-prints,[u'Linear Potentials and Galactic Rotation Curves - Formalism'],1993
"[u'Parrott, Stephen']",13,2.0,31.0,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Radiation from a Uniformly Accelerated Charge and the Equivalence Principle'],1993
"[u'Price, Richard H.', u'Pullin, Jorge', u'Kundu, Prasun K.']",7,,,Physical Review Letters,[u'Escape of gravitational radiation from the field of massive bodies'],1993
"[u'Brown, J. David', u'York, James W.']",0,,12.0,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Microcanonical Action and the Entropy of a Rotating Black Hole'],1993
"[u'Seljak, Uros', u'Bertschinger, Edmund']",12,,10.0,The Astrophysical Journal,[u'Amplitude of Primeval Fluctuations from Cosmological Mass Density Reconstructions'],1994
